Molecular weight,Hydrogen bond acceptor,Hydrogen bond donor,Rotatable bonds,Topological polar surface area,log P,Aromatic bonds,BBB+/-
370.91,2,0,6,3.24,5.3,12,1
164.97,1,0,2,9.23,2.6,0,1
400.98,2,1,6,55.56,4.5,12,1
106.17,0,0,2,0,3.7,6,1
238.28,4,2,5,60.53,2.1,0,1
386.45,4,1,11,23.47,3.2,6,1
371.47,5,2,8,87.19,3.1,18,1
179.06,4,2,2,64.38,0.4,0,1
410.49,4,1,5,69.25,3.2,12,1
308.77,4,1,1,43.71,2.7,12,1
1111.34,12,0,10,280.64,7.7,0,1
237.29,4,1,3,69.12,3.9,6,1
411.46,4,2,8,82.69,2.2,6,0
427.53,5,2,9,35.53,2.8,12,1
399.41,7,2,8,140.59,1.1,6,0
356.47,3,2,6,94.83,2,0,1
480.6,4,2,5,94.83,3.1,0,1
344.46,3,2,2,74.6,3,0,1
581.68,5,4,6,109.83,2.6,18,1
190.24,4,1,0,55.6,0.9,12,1
645.32,2,1,8,44.12,7.1,6,0
421.52,4,1,5,35.53,2.8,6,1
438.46,4,2,2,94.83,3.4,6,1
434.5,6,2,4,111.12,1.8,0,0
476.47,6,2,4,117.55,1.9,0,0
474.52,6,2,4,111.12,3.1,0,0
394.44,4,2,4,111.12,2.5,0,0
441.51,4,2,4,117.55,1.3,0,0
408.48,4,2,4,94.83,3.4,0,0
494.54,5,2,4,107.22,3,0,0
434.51,5,2,4,107.22,2.7,0,0
327.37,3,1,3,63.6,1.4,6,1
403.44,4,0,5,82.74,3.2,6,1
401.5,4,0,5,40.46,2.5,6,1
451.6,3,2,8,42.9,3.4,18,1
329.37,1,0,3,43.71,3.3,6,1
401.54,3,1,6,23.55,2.5,12,1
437.52,7,1,5,87.19,3.9,24,0
259.34,2,1,3,48.69,3,12,1
314.42,3,1,8,34.92,2.7,12,1
398.47,6,2,5,83.33,3.6,18,0
244.28,2,1,5,43.71,2.3,0,1
278.33,3,2,5,45.08,2.4,12,1
401.82,4,3,6,95.23,1.9,18,1
581.68,5,4,6,109.83,3.9,18,1
464.83,5,2,7,92.93,4.4,12,0
297.42,3,1,5,38.91,3.5,6,1
233.31,4,1,3,38.33,4.8,12,1
914.17,5,1,10,144.96,5.2,12,0
1030.31,5,1,12,153.13,3.6,18,0
361.38,4,1,6,83.05,0.2,0,0
127.94,2,0,0,26.3,1,0,1
112.1,2,2,0,50.75,1.7,12,1
291.35,4,3,3,103.47,2.9,6,1
277.37,2,1,4,35.53,2.4,6,1
357.44,4,2,3,63.6,0.5,0,1
244.31,4,2,3,103.78,2.8,12,0
414.55,3,1,5,45.08,2.1,12,1
370.88,4,1,6,61.44,3.1,0,1
308.75,3,0,0,37.57,1.3,6,1
308.75,4,0,1,57.22,4.2,12,1
391.97,2,1,4,6.51,2.6,6,1
311.4,3,1,5,63.6,2.8,6,1
255.33,3,1,4,63.6,2.7,6,1
269.36,3,1,4,63.6,1.4,6,1
285.34,3,2,4,63.6,1.5,6,1
357.44,4,2,3,63.6,1.5,6,1
289.71,4,1,7,103.78,2.9,0,1
311.38,3,2,4,63.6,2.1,0,1
346.47,4,2,2,94.83,2.7,0,0
396.62,4,2,4,94.83,2.8,0,0
416.52,4,2,2,94.83,2.4,0,0
426.9,3,2,4,94.83,3.2,0,0
418.5,3,2,4,94.83,2.5,18,0
404.5,4,2,4,94.83,2.3,0,0
654.6,3,2,8,42.9,2.5,0,1
448.52,4,2,3,94.83,2.6,0,0
410.5,4,2,4,94.83,2.7,0,0
380.46,4,2,4,94.83,3.4,0,0
394.52,4,2,4,94.83,2.2,0,0
428.52,4,2,4,94.83,2.4,0,0
340.46,4,2,4,94.83,2.5,0,0
446.5,4,2,4,94.83,2.3,0,0
404.5,4,2,4,94.83,2.4,0,0
418.51,4,2,4,94.83,1.9,6,0
444.49,4,2,4,94.83,2.1,6,0
285.37,2,1,4,38.33,1.8,6,1
301.4,2,1,4,63.6,1.5,6,1
289.35,3,1,4,63.6,1.7,6,1
285.33,2,1,4,63.6,3.1,6,1
285.33,2,1,5,63.6,2.6,6,1
269.32,2,1,7,44.23,2.8,6,1
315.41,3,1,6,44.23,3,6,1
325.41,3,1,5,63.6,2.4,6,1
271.35,2,1,4,63.6,1.4,12,1
271.35,2,1,4,63.6,2.7,6,1
331.39,3,0,8,44.23,2.9,6,1
275.36,3,1,4,38.33,2.4,0,1
289.38,3,1,5,38.33,2.5,0,1
430.53,5,2,4,94.83,2.6,6,0
416.5,3,2,4,94.83,2.8,0,0
406.5,3,0,4,94.83,2.9,0,1
492.56,4,2,4,94.83,3,0,0
474.52,4,2,4,94.83,2.4,0,0
450.52,4,2,4,94.83,3.1,0,0
442.52,4,2,4,94.83,2,0,0
416.5,4,2,4,94.83,2.2,0,0
474.52,4,2,4,94.83,2.4,6,0
219.14,3,1,3,60.35,2.6,12,1
319.4,2,1,3,48.69,2.8,12,1
237.29,3,1,5,43.71,2.9,12,1
415.48,2,1,4,43.71,2.7,6,1
341.42,3,1,5,43.71,2.9,12,1
264.3,3,1,4,55.56,3.1,6,1
273.33,3,1,6,43.71,1.8,18,1
271.4,2,1,4,38.33,2.5,12,1
328.47,3,1,4,54.65,3,6,1
413.43,5,1,3,95.83,2.8,12,1
311.4,4,1,4,63.6,1.9,6,1
608.68,8,1,9,132.54,2.4,6,1
299.36,3,1,4,63.6,2.4,12,1
301.4,2,1,4,63.6,2.7,6,1
283.38,3,1,5,61.44,2.8,18,1
263.38,3,1,5,44.23,2.9,12,1
331.39,3,0,8,44.23,1.5,6,1
453.59,3,1,8,42.9,2.1,6,1
291.36,3,1,6,38.91,2.2,6,1
285.34,3,1,3,63.6,2.3,6,1
271.35,3,1,4,63.6,2.5,12,1
271.35,3,2,4,63.6,2.8,12,1
357.44,3,1,5,63.6,2.9,0,1
295.35,3,1,6,54.65,2.6,0,1
320.76,3,1,1,43.71,2.7,12,1
355.4,2,1,3,55.6,2.4,6,1
375.43,3,1,4,54.65,2.5,12,1
357.42,3,1,5,54.65,2.8,12,1
313.43,3,1,5,54.65,3,6,1
393.46,3,1,5,38.33,2.9,12,1
403.47,2,1,5,54.65,2.4,6,1
397.47,3,1,11,54.65,2.6,0,1
439.44,4,1,5,48.69,2.8,0,1
285.33,2,1,6,54.65,2.9,0,1
450.52,4,2,4,94.83,2.7,6,0
452.54,4,2,5,94.83,2.8,6,0
392.5,4,2,4,94.83,3.1,6,0
287.31,3,1,5,38.33,3,6,1
315.41,3,1,6,63.6,2.5,0,1
326.42,3,1,6,63.6,3,0,1
285.33,3,1,6,63.6,2.4,0,1
285.33,2,2,6,63.6,2.7,0,1
272.38,2,2,2,54.65,2.8,0,1
315.42,3,2,4,94.83,2.6,0,0
494.54,3,2,4,94.83,2.9,6,0
452.54,3,2,4,94.83,2.8,0,0
299.36,3,1,5,63.6,2.4,12,1
321.37,3,1,5,63.6,3.1,6,1
372.47,3,2,4,94.83,2.6,0,0
301.35,3,1,5,38.33,2.8,6,1
385.43,3,1,11,63.6,2.7,0,1
446.5,3,2,4,94.83,2.4,0,0
345.45,3,1,10,63.6,2.2,0,1
416.5,3,2,4,94.83,2.3,0,0
418.5,3,2,4,94.83,2.1,0,0
426.9,3,2,4,94.83,1.9,0,0
408.48,3,2,4,94.83,2.4,0,0
403.46,3,2,4,94.83,3,0,0
416.5,3,2,4,94.83,2.8,0,0
416.5,3,2,4,94.83,2.7,0,0
396.62,3,2,4,94.83,3,0,0
332.48,3,2,3,94.83,2.9,0,1
406.5,3,0,4,94.83,2.2,12,1
474.52,3,2,4,94.83,2.3,6,0
442.52,3,2,4,94.83,1.4,0,0
445.55,3,2,4,94.83,3.6,18,1
452.54,3,2,4,94.83,5.3,12,0
416.5,3,2,4,94.83,1.4,12,0
324.42,3,1,3,55.56,0.4,0,1
374.91,3,2,6,35.53,0.9,1,1
211.2,3,2,5,53.77,2.2,1,0
461.52,2,1,5,43.71,2.8,1,1
370.91,2,0,6,3.24,0.6,1,1
421.45,3,2,2,112.97,2.3,0,1
123.11,2,2,2,65.52,2.6,0,1
290.32,4,2,4,67.24,2.7,0,1
252.28,3,1,6,43.71,2.2,1,1
386.3,4,1,4,48.69,3.4,0,1
197.19,4,3,4,83.73,2.5,1,1
279.31,4,2,5,48.69,1.7,1,1
387.45,4,1,4,43.71,2.4,0,1
404.5,3,1,5,45.08,2.3,0,1
387.45,3,1,6,0,2.8,0,1
315.68,2,1,5,40.12,2.6,0,1
312.44,3,1,4,40.12,2.4,0,1
359.83,3,1,3,40.12,2.9,0,1
301.35,3,1,4,40.12,2.3,0,1
327.37,3,1,4,40.12,0.4,0,1
387.45,3,1,5,40.12,2.8,0,1
402.52,2,1,6,40.12,2.7,0,1
389.54,3,1,5,40.12,2.5,0,1
427.53,3,1,4,40.12,2.4,0,1
310.38,2,1,5,40.12,1.4,0,1
497.59,2,2,5,40.12,2.1,0,0
255.33,3,1,4,63.6,2.5,0,1
269.36,3,1,4,63.6,2.6,0,1
271.35,3,1,4,63.6,2.4,0,1
327.42,4,1,3,63.6,2.7,0,1
285.34,3,2,4,63.6,2.5,0,1
357.44,4,2,3,63.6,3.5,0,1
348.43,3,1,4,63.6,2.8,0,1
287.31,2,1,3,63.6,2.6,0,1
385.43,4,0,3,63.6,2.7,0,1
432.52,3,1,5,63.6,2.6,0,1
259.33,3,1,4,63.6,2.5,0,1
288.3,3,1,5,63.6,3.2,0,1
469.52,2,1,5,63.6,2.8,0,1
284.35,4,1,3,63.6,2.9,0,1
288.37,4,1,4,63.6,2.3,0,1
284.37,3,1,5,63.6,3,0,1
296.39,3,1,5,63.6,2.1,0,1
308.75,4,0,0,63.6,2.4,0,1
385.43,4,0,3,63.6,2.5,0,1
416.5,2,1,4,63.6,2.8,0,1
287.31,2,1,5,63.6,2.6,0,1
327.37,2,1,5,63.6,2.7,0,1
361.38,2,1,4,63.6,2.2,0,1
387.45,2,1,4,63.6,2.5,0,1
169.57,2,1,1,63.6,2.6,0,1
387.45,2,1,6,63.6,2.7,0,1
438.48,3,1,4,63.6,2.8,0,1
278.35,2,1,6,63.6,2.4,0,1
387.45,2,1,5,63.6,2.7,0,1
403.47,2,1,5,63.6,2.8,0,1
399.35,2,1,3,63.6,2.9,0,1
325.35,3,1,5,63.6,2.6,0,1
325.35,2,1,5,63.6,3.1,0,1
318.72,2,1,3,63.6,2.4,0,1
315.72,3,1,2,63.6,2.7,0,1
345.44,2,1,3,63.6,2.6,0,1
345.44,2,1,5,63.6,2.5,0,1
335.2,2,1,3,63.6,2.4,0,1
318.72,2,1,5,63.6,1.6,0,1
338.42,2,1,5,63.6,2,0,1
412.97,3,1,5,63.6,2.3,0,1
452.52,3,1,3,63.6,1.2,0,1
343.43,2,1,4,63.6,2.6,0,1
343.43,2,1,3,63.6,2.8,0,1
343.43,2,1,5,63.6,1.4,0,1
211.2,2,1,3,63.6,3.7,0,1
398.39,5,3,6,63.6,3.2,0,0
473.4,9,3,8,63.6,2.3,0,0
305.55,3,1,2,63.6,3.1,1,0
238.16,5,1,3,63.6,1.5,2,0
289.3,3,1,4,63.6,-3.7,0,1
296.39,3,1,5,63.6,3.4,1,1
485.46,10,3,7,63.6,-3.1,0,0
720.94,6,2,10,63.6,1.5,1,1
473.58,4,1,4,63.6,4.6,0,0
361.38,4,1,4,63.6,0.6,0,0
304.22,2,1,7,63.6,1.1,0,1
302.24,8,5,2,63.6,-1.85,1,0
342.3,8,8,1,63.6,3.7,1,0
244.26,3,1,4,63.6,3.1,0,1
182.17,8,6,4,63.6,0.16,0,0
454.45,7,2,6,63.6,2.2,0,1
822.94,9,6,6,63.6,2.3,0,1
213.66,3,2,3,63.6,3.3,1,1
588.56,10,4,7,63.6,0.4,1,1
454.44,10,4,6,63.6,6.36,1,1
493.6,8,3,7,63.6,2.1,0,0
287.36,3,1,4,63.6,-1.64,0,1
266.34,4,3,5,63.6,0.7,1,0
252.34,4,2,4,63.6,2.1,1,0
302.24,4,2,4,63.6,4.3,0,1
488.6,5,1,6,63.6,3.8,0,1
218.23,7,1,4,63.6,4.51,1,1
558.64,5,2,10,63.6,3.4,1,0
290.32,7,2,4,63.6,0.16,0,1
236.23,7,3,3,63.6,1.8,0,0
239.31,4,3,5,63.6,2.1,1,0
474.58,4,1,7,63.6,6,0,1
357.79,5,2,6,63.6,2.7,0,1
407.62,4,1,4,63.6,1.2,0,1
296.15,4,1,5,63.6,1.3,0,1
